,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,campaña_Primavera,campaña_Verano,campaña_invierno,campaña_otoño
91,15.6,17.0,9.48,7.25,False,False,False,False,560.0,930.0,730.0,3.7,0.1,0.1,0.1,2.0,30.0,23.0,0.005,10.0,0.15,53.0,False,False,True,False
92,15.6,15.0,8.68,7.13,False,False,False,False,3200.0,2.0,250.0,2.4,0.11,0.12,0.12,2.0,30.0,33.0,0.005,200.0,0.15,51.0,False,False,True,False
93,16.3,16.0,5.7,5.0,False,False,False,False,740000.0,15.0,5.0,8.7,3.1,0.47,0.47,10.0,30.0,19.0,0.005,930.0,0.15,34.0,False,False,True,False
98,17.1,17.0,9.87,7.99,False,False,False,False,13000.0,6.0,2.0,20.6,0.49,0.1,0.42,6.5,30.0,12.0,0.005,10.0,0.15,42.0,False,False,True,False
99,16.1,17.0,9.82,7.76,False,False,False,False,40000.0,1.0,450.0,12.8,0.95,0.32,0.32,12.0,36.0,16.0,0.005,740.0,0.15,37.0,False,False,True,False
100,13.1,15.0,10.43,8.02,False,False,False,False,160000.0,4.0,2.0,16.4,0.22,0.42,0.42,5.6,30.0,12.0,0.005,10.0,0.15,38.0,False,False,True,False
102,14.6,16.8,7.0,7.6,False,False,False,False,90000.0,30.0,2.0,13.7,2.9,0.4,0.4,5.0,50.0,54.0,0.007,10.0,0.15,36.0,False,False,True,False
103,14.9,16.0,8.9,7.8,False,False,False,False,1600000.0,18.0,2.0,11.7,2.0,1.06,0.39,5.0,50.0,67.0,0.006,10.0,0.15,36.0,False,False,True,False
104,15.1,19.6,10.0,7.8,False,False,False,False,4000.0,3.0,300.0,11.5,0.75,0.248,0.37,5.0,50.0,48.0,0.005,560.0,0.15,45.0,False,False,True,False
105,15.03,14.0,3.09,7.23,False,False,False,False,120000.0,6.0,660.0,13.0,3.3,0.54,0.54,6.8,30.0,25.0,0.011,870.0,0.15,35.0,False,False,True,False
106,14.06,14.0,6.19,7.51,False,False,False,False,40000.0,3.0,600.0,12.6,1.5,0.31,0.31,3.7,30.0,50.0,0.005,250.0,0.15,38.0,False,False,True,False
107,14.6,14.0,5.36,7.48,False,False,False,False,40000.0,5.0,670.0,13.3,2.0,0.34,0.34,5.0,30.0,28.0,0.005,220.0,0.15,38.0,False,False,True,False
108,15.7,14.0,5.07,7.55,False,False,False,False,70000.0,6.0,600.0,12.6,3.1,0.42,0.42,5.0,30.0,12.0,0.006,1270.0,0.15,37.0,False,False,True,False
109,16.6,14.0,5.36,7.66,False,False,False,False,92000.0,6.0,610.0,10.8,4.1,0.27,0.27,6.5,30.0,13.0,0.005,310.0,0.15,37.0,False,False,True,False
110,14.2,14.0,6.21,7.12,False,False,False,False,16000.0,130.0,100.0,13.5,3.9,0.63,0.62,7.3,30.0,7.5,0.007,10.0,0.15,42.0,False,False,True,False
111,14.3,14.0,5.77,7.16,True,False,False,True,27000.0,430.0,100.0,7.7,3.8,0.57,0.46,11.0,30.0,17.0,0.008,10.0,0.15,33.0,False,False,True,False
112,13.4,14.0,8.05,7.29,False,False,False,False,50000.0,3.0,380.0,16.3,1.1,0.51,0.39,11.0,30.0,27.0,0.008,760.0,0.15,36.0,False,False,True,False
113,11.01,17.0,10.01,6.37,False,False,False,False,100000.0,13.0,2.0,8.5,5.2,0.62,0.62,14.0,30.0,10.0,0.006,1400.0,0.15,33.0,False,False,True,False
114,10.01,16.0,10.22,8.22,True,False,False,True,20000.0,290.0,50.0,12.2,1.9,0.4,0.4,12.0,30.0,13.0,0.005,2130.0,0.15,33.0,False,False,True,False
115,15.1,15.2,11.82,8.37,False,False,False,False,58000.0,500.0,80.0,12.2,1.5,0.36,0.36,9.0,30.0,14.0,0.005,2500.0,0.15,38.0,False,False,True,False
116,20.38,16.0,6.968,7.714,False,False,False,False,2600.0,200.0,10.0,13.3,0.88,0.35,0.27,9.4,30.0,16.0,0.005,3590.0,0.15,42.0,False,False,True,False
117,13.9,10.0,10.88,8.52,False,False,False,False,2400.0,370.0,140.0,13.2,5.6,0.95,0.95,9.3,30.0,16.0,0.005,280.0,0.18,42.0,False,False,True,False
118,13.0,10.0,8.14,8.14,False,False,False,False,4000.0,110.0,113.0,14.4,0.33,0.26,0.26,6.5,30.0,18.0,0.005,4650.0,0.16,45.0,False,False,True,False
119,12.8,9.0,2.49,8.01,False,False,False,False,192000.0,60.0,24.0,2.0,22.0,1.2,1.2,18.0,30.0,8.6,0.005,1960.0,0.15,32.0,False,False,True,False
120,12.7,9.0,9.0,8.23,False,False,False,False,3000.0,720.0,250.0,14.8,1.9,0.15,0.15,5.1,30.0,7.3,0.005,1290.0,0.15,46.0,False,False,True,False
121,12.0,14.0,8.248,8.27,False,False,False,False,50000.0,16.0,3.0,4.1,12.0,1.2,1.2,12.0,30.0,8.5,0.005,2900.0,0.15,34.0,False,False,True,False
122,11.0,14.0,5.508,8.13,True,True,True,True,700000.0,440.0,30.0,2.1,19.0,1.4,1.4,21.0,30.0,11.0,0.005,630.0,0.15,23.0,False,False,True,False
123,10.0,12.0,6.174,8.32,False,False,False,False,9000.0,2.0,570.0,16.2,5.4,1.3,1.0,2.16,30.0,25.0,0.005,1730.0,0.15,38.0,False,False,True,False
124,10.0,12.0,6.768,8.95,False,False,False,False,400.0,200.0,30.0,5.0,0.17,0.26,1.4,4.6,33.0,37.0,0.005,6410.0,0.32,41.0,False,False,True,False
125,9.0,11.0,8.628,8.44,False,False,False,False,1300.0,200.0,40.0,3.3,2.0,0.59,0.59,5.7,34.0,28.0,0.005,720.0,0.19,46.0,False,False,True,False
126,21.5,15.0,8.3,7.8,False,False,False,False,160.0,100.0,160.0,3.4,0.1,0.1,0.1,2.78,30.0,30.0,0.005,0.3,0.15,61.0,True,False,False,False
127,20.9,15.0,6.43,7.58,False,False,False,False,200.0,100.0,300.0,2.7,0.83,0.19,0.18,2.78,30.0,26.0,0.005,0.0,0.15,40.0,True,False,False,False
128,20.4,14.0,6.24,7.67,False,False,False,False,4000.0,3000.0,600.0,2.8,1.0,0.2,0.2,7.34,30.0,28.0,0.005,0.4,0.15,40.0,True,False,False,False
129,20.2,14.0,5.8,7.57,False,False,False,False,300.0,200.0,420.0,2.8,1.4,0.33,0.33,2.8,36.0,25.0,0.005,0.3,0.15,36.0,True,False,False,False
130,19.7,14.0,5.68,7.5,False,False,False,False,2400.0,2100.0,550.0,2.7,0.98,0.35,0.32,6.7,33.0,30.0,0.005,0.0,0.15,56.0,True,False,False,False
131,20.0,11.0,5.24,7.4,False,False,False,False,15200.0,14400.0,2500.0,2.7,0.83,0.19,0.18,4.02,30.0,26.0,0.005,0.0,0.15,67.0,True,False,False,False
132,19.0,11.0,6.35,7.57,False,False,False,True,12000.0,11500.0,700.0,2.9,1.1,0.32,0.31,3.42,30.0,30.0,0.005,0.5,0.15,52.0,True,False,False,False
133,19.2,12.0,6.91,8.02,False,False,False,False,830.0,820.0,640.0,2.5,0.1,0.19,0.16,4.0,36.0,29.0,0.005,0.3,0.15,50.0,True,False,False,False
134,18.6,12.0,7.21,7.67,False,False,False,False,1060.0,850.0,620.0,2.6,0.12,0.36,0.19,5.78,30.0,35.0,6.0,1.0,0.15,50.0,True,False,False,False
135,20.4,14.0,7.78,6.85,False,False,False,False,1300.0,1000.0,260.0,3.7,0.74,0.23,0.23,5.78,30.0,39.0,0.005,0.1,0.15,58.0,True,False,False,False
137,21.0,19.0,6.4,7.0,False,False,False,False,300.0,160.0,110.0,3.6,1.3,0.33,0.32,2.78,39.0,29.0,0.005,5.9,0.15,41.0,True,False,False,False
138,18.4,17.0,8.2,7.51,False,False,False,False,6500.0,6200.0,4000.0,4.9,1.0,0.33,0.33,5.24,30.0,29.0,6.0,0.6,0.15,58.0,True,False,False,False
139,21.0,19.0,3.3,7.0,False,False,False,False,6500.0,6600.0,1500.0,6.3,7.1,0.86,0.86,5.24,32.0,9.3,0.005,0.2,0.15,51.0,True,False,False,False
140,19.4,15.1,9.91,7.53,False,False,False,False,2100.0,1700.0,310.0,4.2,0.72,0.28,0.27,5.76,30.0,28.0,0.005,0.0,0.15,60.0,True,False,False,False
141,18.5,15.1,8.62,7.41,False,False,False,True,4200.0,4000.0,570.0,4.4,0.93,0.29,0.29,7.34,30.0,19.0,0.005,0.7,0.15,50.0,True,False,False,False
142,18.6,12.3,8.83,7.79,False,False,False,False,6600.0,6600.0,1500.0,3.7,1.0,0.47,0.3,5.24,30.0,19.0,6.0,3.1,0.15,49.0,True,False,False,False
147,18.89,12.0,3.99,7.22,False,False,False,False,700.0,500.0,40.0,3.2,3.3,0.78,0.66,4.0,30.0,14.0,7.0,6.4,0.15,37.0,True,False,False,False
148,18.43,13.0,5.37,7.47,False,False,False,False,1400.0,1350.0,80.0,3.6,2.2,0.57,0.54,6.5,30.0,16.0,0.005,0.8,0.15,52.0,True,False,False,False
149,18.5,14.0,6.6,7.67,False,False,False,False,1000.0,800.0,20.0,3.3,2.5,0.55,0.54,5.28,30.0,18.0,0.005,8.2,0.15,43.0,True,False,False,False
150,18.5,14.0,6.1,8.02,False,False,False,False,6000.0,6000.0,100.0,3.3,1.3,30.12,0.4,5.24,30.0,15.0,0.005,28.8,0.15,40.0,True,False,False,False
151,17.1,14.0,7.06,8.0,False,False,False,False,1300.0,1000.0,120.0,3.6,1.6,0.67,0.52,6.06,30.0,21.0,7.0,40.9,0.15,40.0,True,False,False,False
152,18.5,13.0,7.49,7.06,False,False,False,True,80.0,70.0,4.0,4.7,1.3,0.31,0.3,2.78,30.0,17.0,0.005,0.0,0.15,62.0,True,False,False,False
153,18.6,13.0,7.38,7.08,False,False,False,True,120.0,80.0,20.0,5.1,0.71,0.49,0.31,2.78,30.0,20.0,0.005,17.0,0.15,41.0,True,False,False,False
154,18.3,13.0,7.0,7.24,False,False,True,False,900.0,800.0,20.0,5.6,0.64,0.76,0.44,5.0,39.0,25.0,6.0,63.7,0.15,36.0,True,False,False,False
155,15.04,11.0,11.02,8.05,False,False,False,False,1600.0,1600.0,320.0,7.2,0.45,0.88,0.28,7.1,37.0,37.0,12.0,92.4,0.15,40.0,True,False,False,False
156,18.06,16.0,10.39,8.03,False,False,False,False,360.0,330.0,100.0,8.5,0.66,0.31,0.31,2.78,30.0,25.0,0.005,8.5,0.15,39.0,True,False,False,False
157,18.7,12.0,8.54,7.58,False,False,False,False,600.0,500.0,270.0,5.9,0.22,0.51,0.31,2.8,48.0,34.0,8.0,11.7,0.15,40.0,True,False,False,False
158,17.48,10.0,8.656,7.89,False,False,False,False,150.0,100.0,30.0,6.2,0.14,0.6,0.38,2.78,72.0,39.0,10.0,74.2,0.15,41.0,True,False,False,False
159,16.0,7.0,11.05,9.17,False,False,False,False,210.0,80.0,90.0,5.9,0.15,0.36,0.21,2.78,33.0,31.0,0.005,36.5,0.19,38.0,True,False,False,False
160,17.2,6.0,8.38,8.09,False,False,False,False,95.0,35.0,50.0,5.7,0.41,0.29,0.23,2.78,46.0,26.0,0.005,29.4,0.15,41.0,True,False,False,False
161,18.0,4.0,7.36,7.87,False,False,False,False,800.0,700.0,220.0,5.4,2.3,0.36,0.23,4.0,30.0,23.0,0.005,16.7,0.15,37.0,True,False,False,False
